ticker,forecast_time,news_id,news_time,news_title,news_text,price_5d_return,volume_change,label
NVDA,2025-04-07 09:00,N027,2025-04-07 12:00,Late NVDA headline after open,Late NVDA headline after open should not be used for the morning forecast at nine o clock.,-0.03,0.19,DOWN
AAPL,2025-04-08 09:00,N028,2025-04-07 07:00,Apple supply chain improves,Apple supply chain improves with strong logistics partnership and reduced shortage risk this quarter.,0.015,0.07,UP
AAPL,2025-04-08 09:00,N029,2025-04-08 10:00,Leak after forecast AAPL,Leak after forecast AAPL product rumor published after the official forecast timestamp.,0.015,0.07,UP
TSLA,2025-04-09 09:00,N030,2025-04-08 06:00,Tesla faces layoff reports,Tesla faces layoff reports at several facilities raising concern about near-term cost cutting.,-0.022,0.13,DOWN
TSLA,2025-04-09 09:00,N031,2025-04-09 09:00,Boundary leak same minute,Boundary leak same minute as forecast and must be excluded from valid news under retriever rules.,-0.022,0.13,DOWN
NVDA,2025-04-10 09:00,N032,2025-04-09 08:00,NVIDIA launches developer platform,NVIDIA launches developer platform with innovation tools to accelerate enterprise AI adoption growth.,0.02,0.21,UP
AAPL,2025-04-11 09:00,N033,2025-04-10 09:00,Apple and supplier discuss meeting,Apple and supplier discuss meeting to review production targets and maintain current build schedules.,0.0,0.04,HOLD
TSLA,2025-04-12 09:00,N034,2025-04-11 07:00,Tesla stock rally on delivery rumor,Tesla stock rally on delivery rumor as traders expect surge in quarterly shipment numbers soon.,0.028,0.26,UP
NVDA,2025-04-13 09:00,N035,2025-04-12 08:00,NVIDIA warns on margin pressure,NVIDIA warns on margin pressure and potential drop in gaming segment revenue this quarter.,-0.018,0.17,DOWN
AAPL,2025-04-14 09:00,N036,2025-04-13 10:00,Apple upgrade from major bank,Apple upgrade from major bank cites strong profit outlook and launch pipeline for next year.,0.032,0.15,UP
